00:00.292	ID:4	Rime started with address 4.0
00:00.300	ID:4	MAC 04:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 4.
00:00.309	ID:4	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.311	ID:4	Starting 'Sky Contiki shell'
00:00.321	ID:4	4.0: Contiki> 
00:00.366	ID:2	Rime started with address 2.0
00:00.374	ID:2	MAC 02:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 2.
00:00.383	ID:2	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.385	ID:2	Starting 'Sky Contiki shell'
00:00.395	ID:2	2.0: Contiki> 
00:00.424	ID:3	Rime started with address 3.0
00:00.432	ID:3	MAC 03:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 3.
00:00.442	ID:3	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.444	ID:3	Starting 'Sky Contiki shell'
00:00.454	ID:3	3.0: Contiki> 
00:00.588	ID:6	Rime started with address 6.0
00:00.596	ID:6	MAC 06:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 6.
00:00.606	ID:6	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.608	ID:6	Starting 'Sky Contiki shell'
00:00.618	ID:6	6.0: Contiki> 
00:00.643	ID:7	Rime started with address 7.0
00:00.652	ID:7	MAC 07:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 7.
00:00.661	ID:7	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.663	ID:7	Starting 'Sky Contiki shell'
00:00.673	ID:7	7.0: Contiki> 
00:00.843	ID:10	Rime started with address 10.0
00:00.851	ID:10	MAC 0a:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 10.
00:00.860	ID:10	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.862	ID:10	Starting 'Sky Contiki shell'
00:00.872	ID:10	10.0: Contiki> 
00:00.932	ID:1	Rime started with address 1.0
00:00.940	ID:1	MAC 01:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 1.
00:00.949	ID:1	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.952	ID:1	Starting 'Sky Contiki shell'
00:00.962	ID:1	1.0: Contiki> 
00:01.000	ID:9	Rime started with address 9.0
00:01.008	ID:9	MAC 09:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 9.
00:01.017	ID:9	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:01.019	ID:9	Starting 'Sky Contiki shell'
00:01.029	ID:9	9.0: Contiki> 
00:01.145	ID:5	Rime started with address 5.0
00:01.153	ID:5	MAC 05:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 5.
00:01.163	ID:5	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:01.165	ID:5	Starting 'Sky Contiki shell'
00:01.175	ID:5	5.0: Contiki> 
00:01.189	ID:8	Rime started with address 8.0
00:01.197	ID:8	MAC 08:00:00:00:00:00:00:00 Contiki 3.0 started. Node id is set to 8.
00:01.206	ID:8	nullsec CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:01.209	ID:8	Starting 'Sky Contiki shell'
00:01.219	ID:8	8.0: Contiki> 
02:31.564	ID:1	netcmd sending '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:31.569	ID:1	1.0: Contiki> 
02:31.612	ID:6	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:31.669	ID:7	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:32.326	ID:3	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:32.341	ID:8	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:32.368	ID:10	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:33.776	ID:9	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:34.545	ID:5	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:34.568	ID:4	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:37.649	ID:1	1.0: Contiki> 
02:41.244	ID:1	mac: turned MAC off (keeping radio on): ContikiMAC
02:41.246	ID:1	1.0: Contiki> 
02:44.151	ID:1	1.0: Contiki> 
02:45.266	ID:2	netcmd server got command string '  repeat 0 30 { randwait 30 collect-view-data | send 31 }'
02:47.012	ID:1	1.0: Contiki> 
02:48.853	ID:1	30 25652 43102 0 8 0 1 0 22 20134 0 2217 37912 125 300 0 0 511 0 128 252 1 189 182 65535 65535 0 0 0 0 
02:50.146	ID:1	30 25652 43104 0 7 0 2 0 22 21074 0 2334 39672 106 326 0 0 511 0 128 252 1 133 182 65535 65535 0 0 0 0 
02:53.373	ID:1	30 25652 43107 0 10 0 2 0 22 20365 0 2239 38403 125 299 0 0 511 0 128 252 1 189 182 65535 65535 0 0 0 0 
02:55.318	ID:1	30 25652 43109 0 9 0 1 0 22 22307 0 2603 41864 189 314 1 128 128 1 8 252 1 189 182 65535 65535 0 0 0 0 
02:59.093	ID:1	30 25652 43113 0 6 0 1 0 22 22843 0 2706 42883 167 374 1 8 8 1 8 252 1 133 182 65535 65535 0 0 0 0 
03:02.372	ID:1	30 25652 43116 0 3 0 2 0 22 23272 0 2869 43525 232 381 8 24 32 3 8 252 1 189 182 65535 65535 0 0 0 0 
03:03.823	ID:1	30 25652 43117 0 5 0 3 0 22 22411 0 2584 42091 169 323 7 128 264 1 8 252 1 189 182 65535 65535 0 0 0 0 
03:05.152	ID:1	30 25652 43119 0 4 0 3 0 22 21704 0 2408 40854 108 302 0 0 511 0 128 252 1 189 182 65535 65535 0 0 0 0 
03:07.146	ID:1	30 25652 43121 0 7 1 2 0 22 23851 0 4417 39894 737 938 6 8 16 2 16 187 1 124 173 65535 65535 0 0 0 0 
03:10.806	ID:1	30 25652 43124 0 8 1 1 0 22 24235 0 7755 57678 1782 1504 1 8 8 1 16 194 1 131 124 65535 65535 0 0 0 0 
03:11.459	ID:1	30 25652 43125 0 2 0 4 0 22 23797 0 2776 44661 187 328 5 128 392 1 8 252 1 189 182 65535 65535 0 0 0 0 
03:14.746	ID:1	30 25652 43128 0 10 1 2 0 22 24572 0 7534 59578 1684 1292 8 16 24 2 16 194 1 131 124 65535 65535 0 0 0 0 
03:15.464	ID:1	30 25652 43129 0 4 1 3 0 22 24517 0 5299 39608 1308 734 7 32 48 1 16 194 1 131 124 65535 65535 0 0 0 0 
03:20.884	ID:1	30 25652 43134 0 6 1 1 0 22 25578 0 5172 38503 864 1298 1 8 8 1 32 187 1 124 117 65535 65535 0 0 0 0 
03:22.098	ID:1	30 25652 43136 0 9 1 1 0 22 25735 0 4358 50358 420 529 1 8 8 1 32 194 1 131 124 65535 65535 0 0 0 0 
03:24.523	ID:1	30 25652 43138 0 2 1 4 0 22 25559 0 5953 50291 1436 867 5 24 200 1 16 194 1 131 124 65535 65535 0 0 0 0 
03:25.925	ID:1	30 25652 43139 0 3 1 2 0 22 26259 0 4250 43462 564 525 8 18 26 3 32 194 1 131 124 65535 65535 0 0 0 0 
03:30.394	ID:1	30 25652 43144 0 5 1 3 0 22 25878 0 7170 48188 2049 1425 7 28 44 1 32 194 1 131 124 65535 65535 0 0 0 0 
03:35.126	ID:1	30 25652 43149 0 3 2 2 0 22 27472 0 4097 34602 1027 594 8 17 25 3 32 178 1 115 108 65535 65535 0 0 0 0 
03:49.163	ID:1	30 25652 43163 0 9 2 1 0 22 29185 0 3380 51678 10 472 1 8 8 1 64 178 1 115 108 65535 65535 0 0 0 0 
03:53.403	ID:1	30 25652 43167 0 4 2 3 0 22 29232 0 2745 34865 202 350 7 23 52 2 32 178 1 115 108 65535 65535 0 0 0 0 
03:59.772	ID:1	30 25652 43173 0 8 2 1 0 22 30533 0 3938 46314 321 889 1 8 8 1 64 178 1 115 108 65535 65535 0 0 0 0 
04:00.874	ID:1	30 25652 43174 0 6 2 1 0 22 30751 0 3757 37537 544 796 1 8 8 1 64 171 1 108 101 65535 65535 0 0 0 0 
04:01.218	ID:1	30 25652 43175 0 7 2 1 0 22 30788 0 6520 48844 1614 1430 1 8 8 4 8 178 1 115 108 65535 65535 0 0 0 0 
04:02.200	ID:1	30 25652 43176 0 5 2 2 0 22 30839 0 3683 35923 610 595 7 25 33 2 64 185 1 122 115 65535 65535 0 0 0 0 
04:04.930	ID:1	30 25652 43178 0 9 3 1 0 22 31213 0 4671 60000 334 739 1 8 8 1 64 229 1 166 159 65535 65535 0 0 0 0 
04:05.336	ID:1	30 25652 43179 0 2 2 3 0 22 31172 0 3213 41564 211 376 5 18 68 1 64 178 1 115 164 65535 65535 0 0 0 0 
04:06.699	ID:1	30 25652 43180 0 4 3 2 0 22 31525 0 8067 65113 1906 1341 7 26 34 2 64 162 1 99 92 65535 65535 0 0 0 0 
04:08.131	ID:1	30 25652 43182 0 10 2 2 0 22 30775 0 3671 45828 266 543 8 11 19 3 64 178 1 115 164 65535 65535 0 0 0 0 
04:09.826	ID:1	30 25652 43183 0 5 3 2 0 22 31808 0 10132 51751 3383 18896 7 17 25 2 64 169 1 106 99 65535 65535 0 0 0 0 
04:12.068	ID:1	30 25652 43186 0 8 3 1 0 22 32107 0 4413 45848 434 966 1 8 8 1 64 162 1 99 148 65535 65535 0 0 0 0 
04:13.996	ID:1	30 25652 43188 0 3 3 2 0 22 32439 0 2659 36956 92 341 8 13 21 3 64 169 1 106 155 65535 65535 0 0 0 0 
04:16.613	ID:1	30 25652 43190 0 7 3 1 0 22 32728 0 8545 53427 2159 2259 1 8 8 4 16 162 1 99 92 65535 65535 0 0 0 0 
04:17.770	ID:1	30 25652 43191 0 10 3 2 0 22 32817 0 9909 55316 3414 1667 6 8 16 3 8 169 1 106 99 65535 65535 0 0 0 0 
04:19.076	ID:1	30 25652 43193 0 2 3 3 0 22 33019 0 4987 53937 750 822 5 17 43 1 64 169 1 106 99 65535 65535 0 0 0 0 
04:26.288	ID:1	30 25652 43200 0 6 3 1 0 22 34004 0 4202 47752 278 1020 1 8 8 1 64 155 1 92 141 65535 65535 0 0 0 0 
04:40.522	ID:1	30 25652 43214 0 10 4 2 0 22 35788 0 4384 43019 820 810 6 9 20 3 32 153 1 90 83 65535 65535 0 0 0 0 
